task,rank,model,overall_score
classification,1,TabPFN,0.8057
classification,2,RNN GRU,0.8028
classification,3,LSTM,0.8001
classification,4,MLP,0.7994
classification,5,Random forest,0.7953
classification,6,k-NN,0.7939
classification,7,Mamba SSM,0.792
classification,8,Decision tree,0.7805
regression,1,Random forest,0.4694
regression,2,TabPFN,0.4665
regression,3,RNN GRU,0.4605
regression,4,LSTM,0.4546
regression,5,k-NN,0.4449
regression,6,Mamba SSM,0.4441
regression,7,MLP,0.4365
regression,8,Decision tree,0.4045
