split,task,crop,dr,model,seq_len,score_mean,score_ci,score_std,fit_seconds,predict_seconds,n_components,epochs,n_runs
random,classification,Carrot,BOTCAST,Decision tree,1,0.7336284650765593,0.028904378106522615,0.04663452508536554,2.4411987682105973,8.432145696133103e-05,7,0.0,10
random,classification,Carrot,BOTCAST,LSTM,1,0.7481607341705192,0.024299415330381796,0.039204846048173175,12.161260154302,0.33788595338119193,7,79.7,10
random,classification,Carrot,BOTCAST,MLP,1,0.75069187828233,0.024219475009014918,0.03907586977653789,5.615822727943305,0.10882676215842364,7,38.0,10
random,classification,Carrot,BOTCAST,RNN GRU,7,0.717436968276756,0.03111195459347704,0.050196244375064,0.9865994561521803,0.0016104536189231501,7,36.8,10
random,classification,Carrot,BOTCAST,Random forest,1,0.7434762582087241,0.016116002307038507,0.026001670442229598,2.4524082800315226,0.00099126158747817,7,0.0,10
random,classification,Carrot,BOTCAST,k-NN,1,0.7223128523280462,0.04652070488934207,0.07505682949329202,2.4410078250220977,0.00219432145240711,7,0.0,10
random,classification,Carrot,Isomap,Decision tree,1,0.6460881303432975,0.04955216292338233,0.07994780501307946,2.8676019150899568,8.467960869893432e-05,22,0.0,10
random,classification,Carrot,Isomap,LSTM,1,0.7113113206724914,0.03196473668391074,0.05157212894321208,7.708535953500541,0.47783285088953564,22,39.2,10
random,classification,Carrot,Isomap,MLP,1,0.717056282722321,0.03619715344815008,0.05840073964835298,11.349447547277668,0.13950298542040396,22,21.1,10
random,classification,Carrot,Isomap,RNN GRU,1,0.7216235107833497,0.029264198571991668,0.0472150619321126,1.7738896422786639,0.000491850124672,22,26.2,10
random,classification,Carrot,Isomap,Random forest,1,0.7002605160818873,0.023069462985258388,0.03722043236243058,2.889052637813923,0.00131065728492099,22,0.0,10
random,classification,Carrot,Isomap,k-NN,1,0.7019029719138017,0.02873759226038682,0.04636543163880049,2.8655786931999803,0.0020696331921498698,22,0.0,10
random,classification,Carrot,KernelPCA,Decision tree,1,0.6950695596911823,0.029852747515634322,0.048164630899662,2.5929434907176376,8.431851747445763e-05,22,0.0,10
random,classification,Carrot,KernelPCA,LSTM,1,0.7161276399860961,0.016524404496151855,0.026660589380493344,10.529403793637176,0.33787768916809,22,67.8,10
random,classification,Carrot,KernelPCA,MLP,1,0.7265697803734392,0.03335334424900325,0.05381251806659618,13.373653048573761,0.12038202336989341,22,35.2,10
random,classification,Carrot,KernelPCA,RNN GRU,1,0.733500285996733,0.024583015189876472,0.039662408038023615,1.3011799870291725,0.00026419584755781,22,70.5,10
random,classification,Carrot,KernelPCA,Random forest,1,0.7081247502324723,0.021071215575769724,0.03399644606522887,2.613245243947798,0.00136132605257438,22,0.0,10
random,classification,Carrot,KernelPCA,k-NN,1,0.7157892293346786,0.02868623124312673,0.04628256541559381,2.5917199477223525,0.00205752250622021,22,0.0,10
random,classification,Carrot,MDS,Decision tree,1,0.7128791772933355,0.03520650355148603,0.05680241820076683,2.967042572123076,0.0001126558228861287,22,0.0,10
random,classification,Carrot,MDS,LSTM,1,0.7418914802669917,0.02209627930503172,0.035650291030174835,8.492428999958793,0.48065941800014117,22,44.7,10
random,classification,Carrot,MDS,MLP,1,0.734143327199897,0.025633647768553435,0.041357505962817155,5.967470120982034,0.13381132470094595,22,41.1,10
