task,crop,dr,model,seed,score,fit_seconds,n_train,n_test,best_params,epochs_run
classification,Carrot,BOTCAST,Decision tree,0,0.7435897435897436,0.0991545538417995,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,1,0.7560975609756098,0.0839763260446488,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,2,0.7469879518072289,0.0850873868912458,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,3,0.7073170731707317,0.0927595170214772,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,4,0.6987951807228916,0.0908400770276784,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,5,0.6842105263157895,0.0831901272758841,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,6,0.725,0.0830080960877239,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,7,0.7045454545454546,0.0833338387310504,319,80,"{""max_depth"": 4, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,8,0.6904761904761905,0.0955228270031511,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,Decision tree,9,0.7435897435897436,0.0823078979738056,319,80,"{""max_depth"": 5, ""min_samples_split"": 5}",
classification,Carrot,BOTCAST,LSTM,0,0.7123287671232876,290.6486879830481,280,80,"{""K"": 2, ""units"": 32, ""dropout"": 0.4, ""lr"": 0.001}",70.0
classification,Carrot,BOTCAST,LSTM,1,0.759493670886076,285.6684730279958,280,80,"{""K"": 4, ""units"": 64, ""dropout"": 0.0, ""lr"": 0.0003}",53.0
classification,Carrot,BOTCAST,LSTM,2,0.7209302325581395,374.02464369800873,279,80,"{""K"": 6, ""units"": 64, ""dropout"": 0.2, ""lr"": 0.001}",116.0
classification,Carrot,BOTCAST,LSTM,3,0.65,266.45366890903097,280,80,"{""K"": 2, ""units"": 32, ""dropout"": 0.0, ""lr"": 0.0003}",44.0
classification,Carrot,BOTCAST,LSTM,4,0.64,278.8962538870983,280,80,"{""K"": 6, ""units"": 64, ""dropout"": 0.1, ""lr"": 0.0003}",46.0
classification,Carrot,BOTCAST,LSTM,5,0.6666666666666666,296.88921174698044,280,80,"{""K"": 6, ""units"": 64, ""dropout"": 0.0, ""lr"": 0.001}",104.0
classification,Carrot,BOTCAST,LSTM,6,0.6923076923076923,314.36606486700475,279,80,"{""K"": 2, ""units"": 64, ""dropout"": 0.4, ""lr"": 0.001}",49.0
classification,Carrot,BOTCAST,LSTM,7,0.6976744186046512,266.2269351739669,279,80,"{""K"": 2, ""units"": 64, ""dropout"": 0.4, ""lr"": 0.0003}",50.0
classification,Carrot,BOTCAST,LSTM,8,0.6976744186046512,259.2089029540075,279,80,"{""K"": 2, ""units"": 64, ""dropout"": 0.1, ""lr"": 0.001}",54.0
classification,Carrot,BOTCAST,LSTM,9,0.7272727272727273,290.592945107026,279,80,"{""K"": 4, ""units"": 32, ""dropout"": 0.4, ""lr"": 0.001}",43.0
classification,Carrot,BOTCAST,MLP,0,0.7435897435897436,105.2506926371716,280,80,"{""hidden"": [32, 16], ""dropout"": 0.1, ""lr"": 0.0003}",400.0
classification,Carrot,BOTCAST,MLP,1,0.7560975609756098,121.70514507312328,280,80,"{""hidden"": [128, 64], ""dropout"": 0.0, ""lr"": 0.001}",34.0
classification,Carrot,BOTCAST,MLP,2,0.7469879518072289,111.20396304223686,279,80,"{""hidden"": [64, 32], ""dropout"": 0.1, ""lr"": 0.0003}",216.0
classification,Carrot,BOTCAST,MLP,3,0.5428571428571428,111.6970200771466,280,80,"{""hidden"": [128, 64], ""dropout"": 0.0, ""lr"": 0.0003}",30.0
