dr,model,fit_seconds,predict_seconds
BOTCAST,Decision tree,2.2453402006879006,8.154638635460079e-05
BOTCAST,LSTM,12.494704221739084,0.3537841458193725
BOTCAST,MLP,9.600584784691454,0.11492681343515865
BOTCAST,RNN GRU,2.276812137698289,0.0021718925097956735
BOTCAST,Random forest,2.2585114760262917,0.0012019489717203684
BOTCAST,k-NN,2.2451663205231953,0.0017456513489984083
Isomap,Decision tree,3.181435829966601,9.37682770502931e-05
Isomap,LSTM,7.887892892631741,0.45132896278616197
Isomap,MLP,8.374979885660771,0.1259150872181635
Isomap,RNN GRU,1.6381114408344728,0.0005700162330564183
Isomap,Random forest,3.2116401365201455,0.001797488246423455
Isomap,k-NN,3.1776396811280088,0.0017672530239602733
KernelPCA,Decision tree,2.65855692170832,9.116189321501916e-05
KernelPCA,LSTM,9.156474978323482,0.412090935309728
KernelPCA,MLP,9.391466848939308,0.11977157775545488
KernelPCA,RNN GRU,1.0276979353404991,0.0003003012815800317
KernelPCA,Random forest,2.682364451260461,0.0016162928533351667
KernelPCA,k-NN,2.6558163697870136,0.0017534454653892818
MDS,Decision tree,3.3449436442932994,0.0001008066697977266
MDS,LSTM,8.193608436906167,0.4550582546071382
MDS,MLP,7.780273328644883,0.12032973433282068
MDS,RNN GRU,1.6681922565767309,0.0005685133684891666
MDS,Random forest,3.3724420234208483,0.0017180794956705352
MDS,k-NN,3.3414198543087372,0.00178060804513123
No Reduction,Decision tree,2.460894921549738,9.347074665128153e-05
No Reduction,LSTM,8.001620223086016,0.4263908474065829
No Reduction,MLP,11.425950677950944,0.12585325941327025
No Reduction,RNN GRU,1.6210174205887597,0.000643471976703285
No Reduction,Random forest,2.478238029345003,0.0014069458392137835
No Reduction,k-NN,2.4583680274708763,0.0020283835251271834
PCA,Decision tree,2.574512569941645,9.250700726017811e-05
PCA,LSTM,11.411917621802422,0.40478617323484894
PCA,MLP,11.65745890350372,0.12782772509866233
PCA,RNN GRU,1.7098193702297673,0.0005561345412084967
PCA,Random forest,2.5996147771353004,0.0016940742585574734
PCA,k-NN,2.5727139803616508,0.0019088039999283967
