task,crop,dr,seed,split,seconds,ok
classification,Onion,No Reduction,0,random,59.93974465999054,True
classification,Onion,No Reduction,8,random,59.96356016403297,True
classification,Onion,PCA,0,random,59.612864910042845,True
classification,Onion,PCA,8,random,71.55630011699395,True
classification,Onion,KernelPCA,0,random,58.38427945500007,True
classification,Onion,KernelPCA,8,random,60.883154209994245,True
classification,Onion,Isomap,0,random,59.61859412305057,True
classification,Onion,Isomap,8,random,60.70247512002243,True
classification,Onion,MDS,0,random,60.05654166796012,True
classification,Onion,MDS,8,random,61.49680835404433,True
classification,Onion,BOTCAST,0,random,58.87392810097663,True
classification,Onion,BOTCAST,8,random,70.62683967500925,True
classification,Lettuce,No Reduction,0,random,62.903738794033416,True
classification,Lettuce,No Reduction,8,random,58.36058313102694,True
classification,Lettuce,PCA,0,random,66.83555566502037,True
classification,Lettuce,PCA,8,random,66.28539532795548,True
classification,Lettuce,KernelPCA,0,random,27.878643923031632,True
classification,Lettuce,KernelPCA,8,random,18.342773897980805,True
classification,Lettuce,Isomap,0,random,20.821453300013676,True
classification,Lettuce,Isomap,8,random,20.196760573016945,True
classification,Lettuce,MDS,0,random,24.17898819898255,True
classification,Lettuce,MDS,8,random,21.9122279099538,True
classification,Lettuce,BOTCAST,0,random,28.22391287703067,True
classification,Lettuce,BOTCAST,8,random,27.12389753496973,True
classification,Carrot,No Reduction,0,random,16.6731574999867,True
classification,Carrot,No Reduction,8,random,22.61295798403444,True
classification,Carrot,PCA,0,random,16.759472255012952,True
classification,Carrot,PCA,8,random,33.98037985799601,True
classification,Carrot,KernelPCA,0,random,16.68085635296302,True
classification,Carrot,KernelPCA,8,random,34.96943827398354,True
classification,Carrot,Isomap,0,random,20.47470094799064,True
classification,Carrot,Isomap,8,random,22.42372624896234,True
classification,Carrot,MDS,0,random,20.117564146989025,True
classification,Carrot,MDS,8,random,33.397275369032286,True
classification,Carrot,BOTCAST,0,random,19.175987408030775,True
classification,Carrot,BOTCAST,8,random,34.21448133402737,True
regression,Onion,No Reduction,0,random,24.465063954005014,True
regression,Onion,No Reduction,8,random,22.79492661799304,True
regression,Onion,PCA,0,random,37.56543373095337,True
regression,Onion,PCA,8,random,34.14080754300812,True
regression,Onion,KernelPCA,0,random,19.733983943995558,True
regression,Onion,KernelPCA,8,random,22.393427948991302,True
regression,Onion,Isomap,0,random,31.62114985001972,True
regression,Onion,Isomap,8,random,34.36725002195453,True
regression,Onion,MDS,0,random,31.036869617004413,True
regression,Onion,MDS,8,random,28.6541560079786,True
regression,Onion,BOTCAST,0,random,23.45543474901933,True
regression,Onion,BOTCAST,8,random,42.113423937000334,True
regression,Lettuce,No Reduction,0,random,18.67065579700284,True
regression,Lettuce,No Reduction,8,random,21.698757007019594,True
regression,Lettuce,PCA,0,random,19.49010158103192,True
regression,Lettuce,PCA,8,random,20.775022563000675,True
regression,Lettuce,KernelPCA,0,random,22.36802000697935,True
regression,Lettuce,KernelPCA,8,random,20.617203340982087,True
regression,Lettuce,Isomap,0,random,21.19896815897664,True
regression,Lettuce,Isomap,8,random,22.66535220103105,True
regression,Lettuce,MDS,0,random,22.921854685002472,True
regression,Lettuce,MDS,8,random,22.108737538044807,True
regression,Lettuce,BOTCAST,0,random,18.152834584994707,True
regression,Lettuce,BOTCAST,8,random,33.47733146196697,True
regression,Carrot,No Reduction,0,random,15.637780756980646,True
regression,Carrot,No Reduction,8,random,17.16944110003533,True
regression,Carrot,PCA,0,random,16.291426293028053,True
regression,Carrot,PCA,8,random,17.375264320988208,True
regression,Carrot,KernelPCA,0,random,17.20479274104582,True
regression,Carrot,KernelPCA,8,random,18.39226136700017,True
regression,Carrot,Isomap,0,random,18.4881158649805,True
regression,Carrot,Isomap,8,random,17.43041956797242,True
regression,Carrot,MDS,0,random,16.492187047027983,True
regression,Carrot,MDS,8,random,16.64356392301852,True
regression,Carrot,BOTCAST,0,random,24.91588436299935,True
regression,Carrot,BOTCAST,8,random,14.32276870199712,True
classification,Onion,No Reduction,1,random,33.01232739095576,True
classification,Onion,No Reduction,9,random,43.21512895892374,True
classification,Onion,PCA,1,random,32.707700607017614,True
classification,Onion,PCA,9,random,46.37103611591738,True
classification,Onion,KernelPCA,1,random,31.845097439945675,True
classification,Onion,KernelPCA,9,random,47.0153524139896,True
classification,Onion,Isomap,1,random,33.176707940059714,True
classification,Onion,Isomap,9,random,37.17258156498429,True
classification,Onion,MDS,1,random,34.20593161007855,True
classification,Onion,MDS,9,random,39.42784106300678,True
classification,Onion,BOTCAST,1,random,45.24035549804103,True
classification,Onion,BOTCAST,9,random,56.00437889108434,True
classification,Lettuce,No Reduction,1,random,42.313836316927336,True
classification,Lettuce,No Reduction,9,random,37.52669223898556,True
classification,Lettuce,PCA,1,random,52.39412835100666,True
classification,Lettuce,PCA,9,random,46.96619887603447,True
classification,Lettuce,KernelPCA,1,random,31.294803364085965,True
classification,Lettuce,KernelPCA,9,random,20.416389115038328,True
classification,Lettuce,Isomap,1,random,23.476975540048443,True
classification,Lettuce,Isomap,9,random,21.052492822986096,True
classification,Lettuce,MDS,1,random,29.703906146925878,True
classification,Lettuce,MDS,9,random,23.828209536965005,True
classification,Lettuce,BOTCAST,1,random,20.343968475004655,True
classification,Lettuce,BOTCAST,9,random,28.55017342895735,True
classification,Carrot,No Reduction,1,random,27.38129697006661,True
classification,Carrot,No Reduction,9,random,17.151018623029813,True
classification,Carrot,PCA,1,random,29.556321508949623,True
classification,Carrot,PCA,9,random,29.02730027202051,True
classification,Carrot,KernelPCA,1,random,30.291722932015546,True
classification,Carrot,KernelPCA,9,random,19.32294568396173,True
classification,Carrot,Isomap,1,random,24.1201289530145,True
classification,Carrot,Isomap,9,random,20.586125417030416,True
classification,Carrot,MDS,1,random,26.378989232936878,True
classification,Carrot,MDS,9,random,21.49611530196853,True
classification,Carrot,BOTCAST,1,random,28.550892682978883,True
classification,Carrot,BOTCAST,9,random,31.434465872938745,True
regression,Onion,No Reduction,1,random,19.755104971001856,True
regression,Onion,No Reduction,9,random,20.53694236697629,True
regression,Onion,PCA,1,random,44.6626247339882,True
regression,Onion,PCA,9,random,29.310435023973696,True
regression,Onion,KernelPCA,1,random,21.59448087005876,True
regression,Onion,KernelPCA,9,random,29.936920644016936,True
regression,Onion,Isomap,1,random,29.096524302032776,True
regression,Onion,Isomap,9,random,32.68263858393766,True
regression,Onion,MDS,1,random,27.24863871198613,True
regression,Onion,MDS,9,random,37.02348988794256,True
regression,Onion,BOTCAST,1,random,43.16638283291832,True
regression,Onion,BOTCAST,9,random,37.69807532103732,True
regression,Lettuce,No Reduction,1,random,19.763131131068803,True
regression,Lettuce,No Reduction,9,random,21.16551640094258,True
regression,Lettuce,PCA,1,random,19.933667468023486,True
regression,Lettuce,PCA,9,random,19.547990942024622,True
regression,Lettuce,KernelPCA,1,random,26.12476029607933,True
regression,Lettuce,KernelPCA,9,random,19.830048618023284,True
regression,Lettuce,Isomap,1,random,25.777310022967868,True
regression,Lettuce,Isomap,9,random,24.042820002068765,True
regression,Lettuce,MDS,1,random,21.09675479202997,True
regression,Lettuce,MDS,9,random,22.73092407290824,True
regression,Lettuce,BOTCAST,1,random,18.53303563897498,True
regression,Lettuce,BOTCAST,9,random,32.82678957108874,True
regression,Carrot,No Reduction,1,random,14.60474262398202,True
regression,Carrot,No Reduction,9,random,16.99544872599654,True
regression,Carrot,PCA,1,random,15.118295678053984,True
regression,Carrot,PCA,9,random,16.232394524035044,True
regression,Carrot,KernelPCA,1,random,14.39839105901774,True
regression,Carrot,KernelPCA,9,random,15.053227333002724,True
regression,Carrot,Isomap,1,random,15.92451687308494,True
regression,Carrot,Isomap,9,random,14.521462667966262,True
regression,Carrot,MDS,1,random,13.841461481992155,True
regression,Carrot,MDS,9,random,16.017991680884734,True
regression,Carrot,BOTCAST,1,random,12.137942350003868,True
regression,Carrot,BOTCAST,9,random,14.88133728702087,True
classification,Onion,No Reduction,2,random,48.07331484701717,True
classification,Onion,PCA,2,random,56.23727304203203,True
classification,Onion,KernelPCA,2,random,49.50169948901748,True
classification,Onion,Isomap,2,random,41.03508747101296,True
classification,Onion,MDS,2,random,46.70075180300046,True
classification,Onion,BOTCAST,2,random,57.676761834009085,True
classification,Lettuce,No Reduction,2,random,40.95301043096697,True
classification,Lettuce,PCA,2,random,44.24757424002746,True
classification,Lettuce,KernelPCA,2,random,38.393620741029736,True
classification,Lettuce,Isomap,2,random,35.34567812702153,True
classification,Lettuce,MDS,2,random,42.033982141001616,True
classification,Lettuce,BOTCAST,2,random,45.17270168504911,True
classification,Carrot,No Reduction,2,random,34.844397379027214,True
classification,Carrot,PCA,2,random,42.22385727101937,True
classification,Carrot,KernelPCA,2,random,34.983660987985786,True
classification,Carrot,Isomap,2,random,34.82558433001395,True
classification,Carrot,MDS,2,random,23.901258561993014,True
classification,Carrot,BOTCAST,2,random,29.057239617046434,True
regression,Onion,No Reduction,2,random,25.15775648498675,True
regression,Onion,PCA,2,random,25.737185670994226,True
regression,Onion,KernelPCA,2,random,20.630462789034937,True
regression,Onion,Isomap,2,random,33.34035630198196,True
regression,Onion,MDS,2,random,25.74787068797741,True
regression,Onion,BOTCAST,2,random,39.161440091033,True
regression,Lettuce,No Reduction,2,random,18.72142013697885,True
regression,Lettuce,PCA,2,random,18.326181623036973,True
regression,Lettuce,KernelPCA,2,random,18.475934237008914,True
regression,Lettuce,Isomap,2,random,21.03844409401063,True
regression,Lettuce,MDS,2,random,22.28410285699647,True
regression,Lettuce,BOTCAST,2,random,16.82594320498174,True
regression,Carrot,No Reduction,2,random,15.8280010180315,True
regression,Carrot,PCA,2,random,14.898882944020444,True
regression,Carrot,KernelPCA,2,random,14.76240698696347,True
regression,Carrot,Isomap,2,random,16.963270220032427,True
regression,Carrot,MDS,2,random,14.287894593027886,True
regression,Carrot,BOTCAST,2,random,16.221862801990937,True
classification,Onion,No Reduction,3,random,30.33247654512525,True
classification,Onion,PCA,3,random,30.29089561989531,True
classification,Onion,KernelPCA,3,random,30.320067587075755,True
classification,Onion,Isomap,3,random,30.89344305498525,True
classification,Onion,MDS,3,random,31.13996540615335,True
classification,Onion,BOTCAST,3,random,33.1296804191079,True
classification,Lettuce,No Reduction,3,random,34.62265513185412,True
classification,Lettuce,PCA,3,random,46.44372378406115,True
classification,Lettuce,KernelPCA,3,random,31.56597316404805,True
classification,Lettuce,Isomap,3,random,31.089206473901868,True
classification,Lettuce,MDS,3,random,33.93523058202118,True
classification,Lettuce,BOTCAST,3,random,42.20701737399213,True
classification,Carrot,No Reduction,3,random,34.61316350195557,True
classification,Carrot,PCA,3,random,39.31713606091216,True
classification,Carrot,KernelPCA,3,random,38.65833950205706,True
classification,Carrot,Isomap,3,random,36.0287719310727,True
classification,Carrot,MDS,3,random,22.704908709973097,True
classification,Carrot,BOTCAST,3,random,22.758236115798358,True
regression,Onion,No Reduction,3,random,19.035460950108245,True
regression,Onion,PCA,3,random,22.053224988048896,True
regression,Onion,KernelPCA,3,random,22.695498349843547,True
regression,Onion,Isomap,3,random,24.986865367973223,True
regression,Onion,MDS,3,random,30.07126140105538,True
regression,Onion,BOTCAST,3,random,20.602152404142544,True
regression,Lettuce,No Reduction,3,random,18.48139818594791,True
regression,Lettuce,PCA,3,random,18.64199823187664,True
regression,Lettuce,KernelPCA,3,random,21.078795870998874,True
regression,Lettuce,Isomap,3,random,23.040910812094808,True
regression,Lettuce,MDS,3,random,20.77902086288668,True
regression,Lettuce,BOTCAST,3,random,20.49262338294648,True
regression,Carrot,No Reduction,3,random,16.01474560191855,True
regression,Carrot,PCA,3,random,16.10952677205205,True
regression,Carrot,KernelPCA,3,random,13.120101322885604,True
regression,Carrot,Isomap,3,random,14.619791760109363,True
regression,Carrot,MDS,3,random,15.512636831961572,True
regression,Carrot,BOTCAST,3,random,11.915171546163036,True
classification,Onion,No Reduction,4,random,35.36792134307325,True
classification,Onion,PCA,4,random,40.047978116897866,True
classification,Onion,KernelPCA,4,random,44.61037494800985,True
classification,Onion,Isomap,4,random,34.832489043008536,True
classification,Onion,MDS,4,random,38.2539085210301,True
classification,Onion,BOTCAST,4,random,48.46273832290899,True
classification,Lettuce,No Reduction,4,random,32.783366048010066,True
classification,Lettuce,PCA,4,random,41.21540817397181,True
classification,Lettuce,KernelPCA,4,random,33.22871587891132,True
classification,Lettuce,Isomap,4,random,33.324532223981805,True
classification,Lettuce,MDS,4,random,35.05675003898796,True
classification,Lettuce,BOTCAST,4,random,42.65270127297845,True
classification,Carrot,No Reduction,4,random,39.42438111989759,True
classification,Carrot,PCA,4,random,48.88760743790772,True
classification,Carrot,KernelPCA,4,random,42.92231965996325,True
classification,Carrot,Isomap,4,random,36.21091900405008,True
classification,Carrot,MDS,4,random,29.770649729995057,True
classification,Carrot,BOTCAST,4,random,30.73158010200132,True
regression,Onion,No Reduction,4,random,22.83259744907264,True
regression,Onion,PCA,4,random,23.33121662295889,True
regression,Onion,KernelPCA,4,random,21.315447958069853,True
regression,Onion,Isomap,4,random,24.389055203995667,True
regression,Onion,MDS,4,random,37.51164378004614,True
regression,Onion,BOTCAST,4,random,21.50621713604778,True
regression,Lettuce,No Reduction,4,random,18.38231578900013,True
regression,Lettuce,PCA,4,random,17.082164803054184,True
regression,Lettuce,KernelPCA,4,random,19.0561388770584,True
regression,Lettuce,Isomap,4,random,22.24008726398461,True
regression,Lettuce,MDS,4,random,19.464004405075684,True
regression,Lettuce,BOTCAST,4,random,31.229676072020084,True
regression,Carrot,No Reduction,4,random,16.950014596921392,True
regression,Carrot,PCA,4,random,14.529961351072416,True
regression,Carrot,KernelPCA,4,random,14.18938445695676,True
regression,Carrot,Isomap,4,random,14.65054046001751,True
regression,Carrot,MDS,4,random,15.386586604057811,True
regression,Carrot,BOTCAST,4,random,19.083677740069103,True
classification,Onion,No Reduction,5,random,39.81619981699623,True
