task,crop,dr,model,published,new,delta
classification,Carrot,No Reduction,Decision tree,0.6984,0.7116866213959264,0.0133
classification,Lettuce,No Reduction,Decision tree,0.8817,0.8710336542675703,-0.0107
classification,Onion,No Reduction,Decision tree,0.7918,0.7811988371752399,-0.0106
classification,Carrot,No Reduction,Random forest,0.7425,0.7336955557151635,-0.0088
classification,Lettuce,No Reduction,Random forest,0.8678,0.868558522698869,0.0008
classification,Onion,No Reduction,Random forest,0.8117,0.7906526045489085,-0.021
classification,Carrot,No Reduction,k-NN,0.7112,0.7232764770576986,0.0121
classification,Lettuce,No Reduction,k-NN,0.8597,0.8670906762398227,0.0074
classification,Onion,No Reduction,k-NN,0.7974,0.8065104801406386,0.0091
classification,Carrot,No Reduction,MLP,0.6101,0.7368018805809713,0.1267
classification,Lettuce,No Reduction,MLP,0.5017,0.8777851990576858,0.3761
classification,Onion,No Reduction,MLP,0.5979,0.7928197151323557,0.1949
classification,Carrot,No Reduction,LSTM,0.6863,0.735923306076378,0.0496
classification,Lettuce,No Reduction,LSTM,0.8919,0.8720707279803351,-0.0198
classification,Onion,No Reduction,LSTM,0.7758,0.7982645834186284,0.0225
classification,Carrot,No Reduction,RNN GRU,0.7273,0.7486862656073259,0.0214
classification,Lettuce,No Reduction,RNN GRU,0.8967,0.8731839446186396,-0.0235
classification,Onion,No Reduction,RNN GRU,0.8133,0.797732551071441,-0.0156
regression,Carrot,No Reduction,Decision tree,0.1718,0.22936672047671464,0.0576
regression,Lettuce,No Reduction,Decision tree,0.3433,0.69044669121546,0.3471
regression,Onion,No Reduction,Decision tree,0.1575,0.44400986519260865,0.2865
regression,Carrot,No Reduction,Random forest,0.0165,0.2357582542190583,0.2193
regression,Lettuce,No Reduction,Random forest,0.7237,0.7125212687941953,-0.0112
regression,Onion,No Reduction,Random forest,0.4837,0.5016179951875273,0.0179
regression,Carrot,No Reduction,k-NN,0.0892,0.20194252133369445,0.1127
regression,Lettuce,No Reduction,k-NN,0.7263,0.7034028172492981,-0.0229
regression,Onion,No Reduction,k-NN,0.5002,0.4832673013210297,-0.0169
regression,Carrot,No Reduction,MLP,0.2148,0.2157042860984802,0.0009
regression,Lettuce,No Reduction,MLP,0.6326,0.6889935374259949,0.0564
regression,Onion,No Reduction,MLP,0.4123,0.46815199255943296,0.0559
regression,Carrot,No Reduction,LSTM,0.1826,0.21085724234580988,0.0283
regression,Lettuce,No Reduction,LSTM,0.6273,0.6834725081920624,0.0562
regression,Onion,No Reduction,LSTM,0.3673,0.4985453963279724,0.1312
regression,Carrot,No Reduction,RNN GRU,0.2059,0.23261509537696834,0.0267
regression,Lettuce,No Reduction,RNN GRU,0.7289,0.6717144966125488,-0.0572
regression,Onion,No Reduction,RNN GRU,0.4629,0.49292248487472534,0.03
classification,Carrot,PCA,Decision tree,0.6997,0.715619659769546,0.0159
classification,Lettuce,PCA,Decision tree,0.8587,0.8694326207836209,0.0107
classification,Onion,PCA,Decision tree,0.7899,0.7752091628777933,-0.0147
classification,Carrot,PCA,Random forest,0.6908,0.7043771153475062,0.0136
classification,Lettuce,PCA,Random forest,0.8763,0.8745301755065654,-0.0018
classification,Onion,PCA,Random forest,0.8184,0.7976960282111334,-0.0207
classification,Carrot,PCA,k-NN,0.6775,0.7177697326690631,0.0403
classification,Lettuce,PCA,k-NN,0.8531,0.8668171311207379,0.0137
classification,Onion,PCA,k-NN,0.8252,0.8010727503654417,-0.0241
classification,Carrot,PCA,MLP,0.7547,0.7504664515596768,-0.0042
classification,Lettuce,PCA,MLP,0.9027,0.8801071930497294,-0.0226
classification,Onion,PCA,MLP,0.8072,0.7996567012392799,-0.0075
classification,Carrot,PCA,LSTM,0.6063,0.7376317248505468,0.1313
classification,Lettuce,PCA,LSTM,0.8631,0.8770433190666932,0.0139
classification,Onion,PCA,LSTM,0.8039,0.8050384450310138,0.0011
classification,Carrot,PCA,RNN GRU,0.6835,0.7457150914700194,0.0622
classification,Lettuce,PCA,RNN GRU,0.8813,0.874540905851027,-0.0068
classification,Onion,PCA,RNN GRU,0.8026,0.8008245607553025,-0.0018
classification,Carrot,MDS,Decision tree,0.656,0.7128791772933355,0.0569
classification,Lettuce,MDS,Decision tree,0.8726,0.8551114021602766,-0.0175
classification,Onion,MDS,Decision tree,0.7678,0.8007038527441228,0.0329
classification,Carrot,MDS,Random forest,0.7269,0.732336920231089,0.0054
classification,Lettuce,MDS,Random forest,0.8961,0.8688824495164356,-0.0272
classification,Onion,MDS,Random forest,0.8089,0.8059612866134337,-0.0029
classification,Carrot,MDS,k-NN,0.6755,0.7193394810739093,0.0438
classification,Lettuce,MDS,k-NN,0.8722,0.864245302067302,-0.008
classification,Onion,MDS,k-NN,0.8019,0.8023600212805455,0.0005
classification,Carrot,MDS,MLP,0.6935,0.7459669341877146,0.0525
classification,Lettuce,MDS,MLP,0.859,0.8801071930497294,0.0211
classification,Onion,MDS,MLP,0.8212,0.7990677887918821,-0.0221
classification,Carrot,MDS,LSTM,0.6276,0.7294079425604237,0.1018
classification,Lettuce,MDS,LSTM,0.8747,0.8651711806104478,-0.0095
